GK25_Bayern_join_csv_link;GK25_Bayern_join_csv_Name;GK25_Bayern_join_csv_AltName;GK25_Bayern_join_csv_id;GK25_Bayern_join_csv_id_X;GK25_Bayern_join_csv_id_Y;GK25_Bayern_join_csv_id2;GK25_Bayern_join_csv_id2_X;GK25_Bayern_join_csv_id2_Y;GK25_Bayern_join_csv_x1;GK25_Bayern_join_csv_y1;GK25_Bayern_join_csv_x2;GK25_Bayern_join_csv_y2;GK25_Bayern_join_csv_x3;GK25_Bayern_join_csv_y3;GK25_Bayern_join_csv_x3_1;GK25_Bayern_join_csv_y4;GK25_Bayern_join_csv_x5;GK25_Bayern_join_csv_y5;GK25_Bayern_join_csv_x6;GK25_Bayern_join_csv_y6;GK25_Bayern_join_csv_x7;GK25_Bayern_join_csv_y7;GK25_Bayern_join_csv_x8;GK25_Bayern_join_csv_y8;GK_5633_5634_Sonneberg_Teuschnitz2_tif;GK25_bereits_vorhanden_csv_5633_5634;GK25_bereits_vorhanden_csv_5633_5634_X;GK25_bereits_vorhanden_csv_5633_5634_Y;GK25_bereits_vorhanden_csv_Sonneberg_Teuschnitz2;GK25_bereits_vorhanden_csv_Field4;GK25_bereits_vorhanden_csv_Field5;GK25_bereits_vorhanden_csv_Field6;GK25_bereits_vorhanden_csv_Field7
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7438.zip;vGK25 7438 Landshut West;vGK25 7438 Landshut West;7438;0.000000000000000;0.000000000000000;7438;0.000000000000000;0.000000000000000;424;392;424;411;403;411;403;392;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7546.zip;GK25 7546 Neuhaus a.Inn;GK25 7546 Neuhaus a.Inn;7546;0.000000000000000;0.000000000000000;7546;0.000000000000000;0.000000000000000;594;409;595;428;573;429;573;410;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7545.zip;vGK25 7545 Griesbach i.Rottal;vGK25 7545 Griesbach i.Rottal;7545;0.000000000000000;0.000000000000000;7545;0.000000000000000;0.000000000000000;573;410;573;429;552;429;552;410;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7544.zip;vGK25 7544 Bad Birnbach;vGK25 7544 Bad Birnbach;7544;0.000000000000000;0.000000000000000;7544;0.000000000000000;0.000000000000000;552;410;552;429;531;429;531;410;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7543.zip;vGK25 7543 Pfarrkirchen;vGK25 7543 Pfarrkirchen;7543;0.000000000000000;0.000000000000000;7543;0.000000000000000;0.000000000000000;531;410;531;429;509;430;509;410;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7542.zip;vGK25 7542 Eggenfelden;vGK25 7542 Eggenfelden;7542;0.000000000000000;0.000000000000000;7542;0.000000000000000;0.000000000000000;509;410;509;430;488;430;488;411;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7534.zip;GK25 7534 Petershausen;GK25 7534 Petershausen;7534;0.000000000000000;0.000000000000000;7534;0.000000000000000;0.000000000000000;339;411;339;430;318;430;318;411;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7541.zip;vGK25 7541 Gangkofen;vGK25 7541 Gangkofen;7541;0.000000000000000;0.000000000000000;7541;0.000000000000000;0.000000000000000;488;411;488;430;467;430;467;411;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7535.zip;GK25 7535 Allershausen;GK25 7535 Allershausen;7535;0.000000000000000;0.000000000000000;7535;0.000000000000000;0.000000000000000;360;411;360;430;339;430;339;411;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7540.zip;vGK25 7540 Vilsbiburg;vGK25 7540 Vilsbiburg;7540;0.000000000000000;0.000000000000000;7540;0.000000000000000;0.000000000000000;467;411;467;430;445;430;445;411;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
